PM,Avg
15.96,0.0480637188
15.81,0.045181695
15.79,0.0482160077
15.22,0.0479517742
15.64,0.0460157988
15.23,0.0476579521
15.81,0.0443740095
16.56,0.0504577236
16.25,0.0477137177
15.51,0.0446993966
15.91,0.048305845
15.45,0.0487058169
15.22,0.0488315312
15.39,0.049670049
15.53,0.0446894086
15.54,0.0480115228
15.53,0.048648273
15.79,0.0493270383
15.05,0.0557103064
15.5,0.0569476082
15.69,0.0572919982
15.03,0.0540906018
15.35,0.0542262591
14.97,0.0599360682
15.57,0.0596231815
15.27,0.060152386
14.98,0.0539556215
15.28,0.0605601817
15.18,0.0547859435
15.49,0.0563274502
15.63,0.054161401
15.16,0.0584947355
15.39,0.0560970479
15.15,0.0555041628
15.52,0.0587045855
15.07,0.0571102227
15.38,0.0552181115
14.96,0.0534930994
15.34,0.0534664053
15.3,0.0564281012
15.3,0.0531236719
15.45,0.0580046404
15.15,0.0512400082
15.16,0.0521376434
15.21,0.0590260698
15.1,0.0495736665
14.93,0.0576368876
15.23,0.0515782959
15.17,0.0584795322
15.35,0.0509787928
15.13,0.0505714575
15.02,0.0528541226
15.13,0.054247586
15,0.053089828
15.1,0.0510673067
15.3,0.0574988021
15.28,0.0486516542
15.15,0.048049972
15.52,0.0482353887
15.88,0.0440237728
15.6,0.0492449114
15.3,0.0482470248
15.12,0.0431331953
15.79,0.0466998755
15.29,0.0436649443
15.42,0.0443430888
15.28,0.0438084112
15.27,0.0457665904
15.24,0.0436014825
15.21,0.0467253329
15.35,0.0435508456
15.59,0.0496647629
15.39,0.0474608448
15.76,0.0488788416
15.46,0.0457910402
15.47,0.0461644995
14.75,0.0636537237
15.12,0.0592467203
14.99,0.0607797169
15.01,0.0578512397
15.48,0.0627296353
15.22,0.057689138
15.22,0.0653167864
15.37,0.057684384
14.73,0.0580864659
14.85,0.0579134607
15.02,0.0612745098
14.55,0.0602668963
15.44,0.05989618
14.91,0.0610074952
14.86,0.0594707107
15.18,0.0578076451
15.75,0.0632568227
15.06,0.0630318311
15.33,0.062455389
15.2,0.0639897616
15.3,0.0593019315
15.28,0.0486523304
15,0.0487329435
15.02,0.0494853523
14.89,0.0493534695
14.81,0.0497017893
14.83,0.0516902719
14.83,0.0490484599
15.03,0.0502512563
15.19,0.0536720637
15.37,0.0564759036
15.2,0.0581113801
15.33,0.0561482313
15.13,0.0550155877
14.97,0.0527537455
14.81,0.0572136931
15.05,0.0489668005
15,0.0580945004
15.07,0.0518349575
15.82,0.0488559564
15.97,0.0502584721
16.61,0.0508808752
16.52,0.0502071043
15.27,0.0530832522
15.41,0.050221813
16.14,0.0458015267
15.79,0.0515843773
16.06,0.0480802253
15.71,0.0510986203
15.93,0.0490299082
15.45,0.0498753117
15.66,0.050667117
15.29,0.0464684015
16,0.0524187509
15.72,0.0460758716
15.99,0.0468420642
15.5,0.0487289856
15.35,0.0471735199
15.67,0.0485436893
15.44,0.0450612833
15.04,0.0704367076
14.85,0.0675414898
14.91,0.0695341214
14.96,0.0701613712
14.71,0.0698045473
14.93,0.0609198903
14.84,0.0678820791
15.07,0.0698689956
14.98,0.066813019
14.96,0.064403349
14.92,0.0707427994
14.78,0.0648859089
15.02,0.0682593857
14.9,0.0670755079
15.06,0.069485805
15.02,0.0611807892
15.1,0.063647936
14.84,0.0628535512
15.92,0.040495667
15.88,0.0470240494
16.11,0.0441046751
16.31,0.0458841883
15.7,0.0450409873
16.27,0.0413393964
16.28,0.0454476594
16.25,0.0418760469
15.81,0.0454191539
15.74,0.0403975115
15.56,0.0419036217
15.65,0.0465518388
16.13,0.0471179519
16.44,0.0471216524
16.37,0.0424763725
15.9,0.040257649
16.32,0.045634317
15.27,0.0593622795
15.86,0.0546398324
15.33,0.0585039699
14.69,0.0513241634
14.87,0.0583430572
15.26,0.0546896363
15.75,0.0591615957
15.21,0.058829297
14.82,0.0595710882
15.06,0.0585333222
15.15,0.0524429683
15.15,0.0581347064
14.97,0.0552028705
15.24,0.0541502282
15.46,0.0583728566
16.48,0.0597371565
15.06,0.0558399255
15.66,0.059618442
15.13,0.0520517047
15.17,0.0589622642
15.57,0.0490608354
15.43,0.0543109301
15.46,0.0495891187
15.56,0.0541858575
16.12,0.0501576383
15.27,0.0486990399
15.44,0.0492853622
16.08,0.0510538983
15.51,0.0547757617
15.71,0.0500357398
16.01,0.051978429
15.2,0.0527823858
15.95,0.0519953204
15.87,0.0518134715
15.47,0.0515862781
15.48,0.0536408743
15.32,0.0490677134
15.48,0.0483525592
15.18,0.0491159136
15.17,0.0523481902
15.83,0.0465332713
16.66,0.0424673532
17.71,0.0438020149
16.34,0.0439319055
16.45,0.0478331579
15.97,0.0398208064
17.28,0.045153522
16.32,0.0469704086
15.98,0.0427046263
16.38,0.0426393775
15.58,0.0453309157
17.69,0.0475059382
15.65,0.048828125
16.06,0.0451705187
17.35,0.0453926464
16.47,0.0419595091
16.7,0.0473171193
16.77,0.0450045005
16.69,0.0432451133
17.41,0.041836628
